ID,OUTLOOK,SALES,NEWCAP,VALUE,COSTGOOD,WAGES,ADS,TYPEFOOD,SEATS,OWNER,FT.EMPL,PT.EMPL,SIZE,,
1,2,480,0,600,35,25,2,2,200,3,8,30,3,,
2,4,507,22,375,59,20,5,2,150,1,6,25,2,,
3,5,210,25,275,40,24,3,1,46,1,0,17,1,,
4,5,246,.,80,43,30,1,1,28,3,2,13,1,,
5,2,148,.,85,45,35,1,3,44,1,.,.,.,,
6,3,50,.,135,40,30,10,2,50,3,2,.,.,,
7,2,72,0,125,85,10,5,2,50,1,0,5,1,,
8,3,99,7,150,43,25,1,2,130,1,1,8,1,,
9,4,160,5,85,.,.,.,.,.,2,2,10,1,,
10,4,243,7,150,38,15,2,2,50,2,2,19,2,,
11,4,200,3,225,42,22,2,1,64,1,3,12,1,,
12,4,1000,20,1500,20,20,10,1,240,3,30,40,3,,
13,4,350,.,.,31,35,.,1,111,3,10,19,2,,
14,3,550,0,410,50,26,2,2,125,3,6,16,2,,
15,3,500,10,1000,50,40,10,2,120,1,4,28,2,,
16,4,1100,8,900,.,.,.,.,.,3,13,47,3,,
17,3,416,0,400,40,21,4,1,92,3,7,15,2,,
18,2,650,.,.,63,32,5,1,90,3,20,25,3,,
19,5,292,0,425,42,13,1,2,150,3,1,16,1,,
20,3,400,10,350,30,25,5,2,90,1,15,10,2,,
21,3,42,0,15,64,35,1,3,15,2,0,0,1,,
22,2,100,15,185,50,15,1,2,80,3,0,7,1,,
23,4,75,0,160,.,.,.,2,76,1,0,10,1,,
24,3,180,0,180,50,20,2,2,65,1,1,14,1,,
25,4,201,0,250,70,27,3,2,178,1,0,20,2,,
26,6,273,60,300,32,28,10,3,110,3,7,13,2,,
27,4,150,0,150,.,.,.,2,60,.,51,80,3,,
28,5,60,4,100,.,.,.,1,0,1,0,0,1,,
29,4,1200,50,800,35,32,3,3,150,3,35,45,3,,
30,3,247,4,.,38,.,2,1,60,3,4,8,1,,
31,2,290,3,200,39,29,1,1,85,3,16,14,3,,
32,2,58,2,75,45,28,5,2,25,3,2,2,1,,
33,4,400,0,100,40,35,1,3,85,3,18,15,3,,
34,3,75,.,26,40,40,5,3,20,2,4,4,1,,
35,5,.,.,.,32,40,4,2,200,.,.,.,.,,
36,4,144,0,25,45,25,0,3,0,1,6,3,1,,
37,4,65,0,25,48,20,1,1,0,1,2,2,1,,
38,3,.,.,.,.,.,.,1,210,.,.,.,.,,
39,4,465,0,75,38,28,7,1,111,3,6,32,3,,
40,5,.,.,.,50,40,10,3,0,3,10,5,2,,
41,5,510,3,750,35,29,4,1,152,3,30,25,3,,
42,3,440,0,.,38,20,5,1,62,3,9,16,2,,
43,4,608,30,395,31,28,2,3,165,3,30,12,3,,
44,3,200,3,350,43,21,4,1,68,2,3,18,2,,
45,1,90,5,40,60,30,10,1,60,1,3,3,1,,
46,5,45,3,40,40,20,3,3,0,1,0,7,1,,
47,6,36,1,.,65,25,5,1,0,2,3,0,1,,
48,4,249,6,275,65,30,5,1,52,1,8,10,2,,
49,5,200,5,60,35,20,2,3,24,3,4,20,2,,
50,2,80,0,150,60,30,5,2,70,1,1,4,1,,
51,1,500,5,350,40,30,3,1,72,3,20,6,3,,
52,2,125,10,140,50,20,5,2,68,3,0,8,1,,
53,2,101,0,140,54,13,1,2,58,1,2,3,1,,
54,4,110,2,160,60,20,1,2,46,1,0,6,1,,
55,3,1200,0,2500,37,29,3,1,200,3,80,45,3,,
56,1,.,.,.,33,25,25,3,120,3,25,5,3,,
57,4,4700,20,1500,50,20,4,1,200,3,15,50,3,,
58,3,48,0,45,45,25,2,3,10,3,0,12,1,,
59,2,150,20,150,45,25,5,3,0,3,10,20,2,,
60,1,185,40,.,40,40,4,1,62,3,2,18,2,,
61,4,157,2,250,.,.,.,1,99,1,3,8,1,,
62,6,621,9,0,36,23,3,1,120,3,5,45,3,,
63,2,257,10,365,40,22,0,1,100,1,14,3,2,,
64,2,137,0,75,55,30,3,1,0,3,1,3,1,,
65,1,190,0,400,60,40,0,1,125,1,2,11,1,,
66,1,.,.,.,.,.,.,.,0,.,.,.,.,,
67,2,320,6,350,50,20,3,2,96,1,10,10,3,,
68,5,650,.,.,50,30,1,2,140,3,20,15,2,,
69,5,610,61,.,38,19,5,1,100,3,10,30,2,,
70,2,385,4,150,36,29,4,3,48,3,20,28,2,,
71,5,360,75,325,29,23,3,1,120,3,4,15,3,,
72,1,276,.,200,65,30,5,1,0,3,20,3,2,,
73,6,600,20,500,38,22,2,2,125,3,28,5,2,,
74,2,330,0,100,45,25,2,1,0,1,2,14,1,,
75,3,215,10,125,45,30,2,1,15,1,11,0,2,,
76,3,425,15,1750,39,27,12,3,250,1,2,70,3,,
77,4,250,10,10,40,40,10,2,80,3,10,4,2,,
78,2,120,0,80,.,.,.,3,30,1,1,2,1,,
79,3,60,30,45,60,30,10,1,16,2,0,4,1,,
80,3,141,6,80,85,10,5,1,34,2,0,4,1,,
81,5,800,50,500,50,25,5,3,120,2,35,13,3,,
82,3,207,4,200,48,20,1,1,0,.,.,.,.,,
83,5,1016,16,1000,40,36,1,3,200,3,20,40,3,,
84,3,60,0,40,50,30,20,3,80,3,2,4,1,,
85,3,309,10,500,52,18,2,2,80,1,6,14,2,,
86,2,960,20,400,54,22,2,3,0,3,7,40,3,,
87,3,150,.,650,70,20,10,2,220,3,3,18,2,,
88,4,56,5,125,40,20,10,2,44,1,0,2,1,,
89,6,250,5,100,33,30,2,1,55,3,10,15,2,,
90,4,275,10,295,50,25,5,2,85,3,10,3,2,,
91,5,150,50,300,30,30,0,1,77,3,4,13,2,,
92,4,325,2,175,45,25,5,3,125,3,20,6,3,,
93,5,110,5,235,50,30,20,2,65,2,2,10,1,,
94,3,250,5,230,50,30,4,2,90,3,4,12,2,,
95,3,550,0,500,48,22,2,2,100,3,13,6,2,,
96,1,100,3,200,35,25,0,1,50,3,0,6,1,,
97,3,32,1,42,35,10,2,1,30,1,3,0,1,,
98,7,366,10,300,42,25,1,2,150,3,12,40,3,,
99,5,70,3,150,50,7,2,2,50,3,3,2,1,,
100,3,531,2,450,46,30,1,3,72,3,1,39,3,,
101,4,225,0,300,50,40,0,1,43,1,10,4,2,,
102,3,108,5,110,.,.,.,.,.,2,0,8,1,,
103,3,100,.,.,86,14,0,3,0,1,3,2,1,,
104,4,40,4,75,30,1,1,3,20,1,.,2,.,,
105,4,750,0,1000,40,22,5,2,140,2,15,25,3,,
106,2,312,.,250,40,34,2,3,110,3,6,20,2,,
107,2,50,5,75,40,20,5,3,56,1,0,5,1,,
108,5,163,3,115,50,28,5,2,75,3,5,4,1,,
109,1,75,1,55,.,.,.,3,32,1,0,0,1,,
110,6,550,6,600,48,24,1,2,76,2,3,30,2,,
111,1,3450,8,100,.,.,.,2,80,3,3,9,1,,
112,3,50,4,305,45,9,4,2,60,1,4,6,1,,
113,5,80,0,50,43,18,2,3,0,1,0,6,1,,
114,3,435,10,250,30,14,5,3,36,1,1,11,1,,
115,1,70,2,75,30,35,0,1,0,1,1,2,1,,
116,1,78,0,125,90,0,10,3,62,1,5,0,1,,
117,5,210,20,225,80,18,2,1,28,1,0,5,1,,
118,4,280,.,300,40,16,8,1,50,3,2,18,2,,
119,4,192,.,300,35,85,5,2,82,3,8,4,2,,
120,4,116,15,135,50,.,.,1,28,1,2,7,1,,
121,5,245,0,450,36,24,2,2,100,3,7,20,2,,
122,1,110,.,160,.,.,.,2,80,1,0,0,1,,
123,3,229,.,150,35,25,5,1,72,3,7,8,2,,
124,4,275,.,1100,60,40,0,1,96,3,4,7,1,,
125,1,100,.,75,50,20,2,3,46,1,4,4,1,,
126,4,647,10,350,50,30,5,1,90,3,5,12,2,,
127,4,300,1,100,.,.,.,.,.,3,.,.,.,,
128,7,54,0,.,35,20,15,3,70,.,0,0,1,,
129,5,400,.,300,.,.,.,3,78,3,3,25,2,,
130,2,120,2,100,84,15,1,2,55,1,1,5,1,,
131,5,.,.,.,30,15,9,1,40,3,10,15,2,,
132,1,179,6,70,43,23,2,1,27,1,1,15,1,,
133,4,300,3,175,35,30,1,1,30,3,7,8,2,,
134,3,500,125,300,45,78,5,1,125,3,10,22,3,,
135,2,150,12,210,45,15,2,2,60,1,0,10,1,,
136,3,135,2,90,60,18,2,1,42,1,3,4,1,,
137,5,400,4,250,42,35,1,1,36,3,13,3,2,,
138,1,480,.,450,57,38,0,2,200,2,30,8,3,,
139,3,530,40,200,40,30,8,2,180,3,25,12,3,,
140,5,.,.,.,.,.,.,3,20,1,0,2,1,,
141,5,600,12,90,35,30,5,1,30,3,36,4,3,,
142,4,.,4,150,42,0,2,3,50,1,7,3,1,,
143,2,125,1,.,55,20,2,1,35,3,3,8,1,,
144,1,382,0,190,.,.,.,1,51,3,4,0,1,,
145,5,.,.,400,30,13,4,1,100,3,2,7,1,,
146,3,200,10,200,30,30,5,3,50,3,4,12,2,,
147,5,800,21,750,38,25,3,3,144,3,20,21,3,,
148,4,144,.,200,40,20,1,2,50,1,2,5,1,,
149,4,130,1,150,0,40,1,2,60,3,3,9,1,,
150,2,1010,50,.,50,25,3,2,127,3,25,35,3,,
151,5,60,5,150,.,.,.,3,25,1,0,2,1,,
152,4,292,20,100,49,30,8,2,75,2,6,24,2,,
153,3,100,56,.,45,25,5,2,75,3,6,14,2,,
154,3,98,0,70,70,28,2,1,32,1,0,7,1,,
155,2,250,6,250,50,25,1,2,90,3,7,7,2,,
156,4,172,1,200,35,14,3,1,0,1,0,20,2,,
157,3,145,12,155,.,.,.,2,74,1,1,9,1,,
158,4,.,.,.,.,.,.,2,0,3,.,0,.,,
159,1,.,.,.,.,.,.,.,.,.,.,.,.,,
160,4,.,.,.,.,.,.,1,0,3,3,1,1,,
161,3,37,1,20,45,10,1,3,12,1,1,1,1,,
162,3,.,.,.,.,.,3,1,82,2,5,22,2,,
163,4,77,0,150,.,.,.,1,35,2,4,1,1,,
164,3,400,.,400,.,.,.,3,44,3,6,8,2,,
165,4,1000,20,.,40,34,2,2,.,2,.,.,.,,
166,2,250,15,750,40,20,5,2,95,3,26,13,3,,
167,4,50,.,90,.,.,.,3,24,1,0,0,1,,
168,1,120,6,.,80,15,5,1,70,1,1,6,1,,
169,4,750,78,0,30,32,3,3,94,2,40,6,3,,
170,5,190,8,75,42,31,1,3,60,3,6,3,1,,
171,1,140,5,180,40,5,5,2,87,1,3,3,1,,
172,4,80,52,60,36,23,1,2,100,1,0,8,1,,
173,5,55,0,50,50,20,10,3,40,3,0,6,1,,
174,5,690,0,250,45,21,3,3,196,3,8,35,3,,
175,4,200,1,175,49,19,2,1,100,1,0,18,1,,
176,4,28,2,55,33,0,1,3,34,3,0,0,1,,
177,5,40,1,0,.,.,.,3,24,3,1,3,1,,
178,4,2,0,2,30,5,0,1,10,3,0,2,1,,
179,2,217,0,750,51,29,4,2,95,3,3,25,2,,
180,4,250,0,300,40,30,10,1,20,3,10,10,2,,
181,3,990,.,1500,40,29,5,1,175,3,12,43,3,,
182,4,2,2,.,90,10,0,1,0,2,0,4,1,,
183,3,50,20,325,50,30,20,2,75,3,2,3,1,,
184,7,290,150,450,51,59,3,2,110,1,5,14,2,,
185,1,75,10,140,.,.,.,1,0,1,0,0,1,,
186,1,.,.,.,.,.,.,.,.,1,0,0,1,,
187,5,400,10,300,20,25,5,2,85,3,10,10,2,,
188,3,30,0,60,49,30,1,1,0,2,2,4,1,,
189,2,70,0,32,40,30,1,3,65,1,2,3,1,,
190,2,250,0,0,37,14,4,1,16,3,3,13,1,,
191,5,1600,20,1000,34,32,4,1,52,3,20,55,3,,
192,2,290,0,125,60,35,5,1,70,3,6,2,1,,
193,4,203,2,40,39,31,4,1,0,1,8,4,2,,
194,5,.,.,.,60,30,0,1,16,1,0,3,1,,
195,2,100,5,300,60,0,1,2,50,2,0,0,1,,
196,3,551,0,1500,.,.,.,1,100,3,10,25,3,,
197,3,220,10,70,42,40,4,1,85,3,6,7,1,,
198,3,225,10,550,50,15,5,1,200,3,1,15,1,,
199,3,140,14,175,33,10,5,1,0,1,0,4,1,,
200,1,154,0,20,45,28,0,.,80,3,6,5,1,,
201,4,39,0,65,42,42,0,1,75,1,0,30,2,,
202,4,565,0,500,.,.,.,2,85,3,15,35,3,,
203,3,0,2,0,43,15,2,2,75,1,1,4,1,,
204,2,1096,73,2000,34,29,1,1,142,3,42,30,3,,
205,4,35,1,0,90,10,0,1,60,1,4,0,1,,
206,5,53,20,125,40,20,5,1,30,3,5,7,1,,
207,2,390,8,450,.,.,.,.,.,3,30,16,3,,
208,3,.,.,.,32,34,2,1,104,3,2,16,2,,
209,4,.,.,80,.,.,.,3,45,1,1,9,1,,
210,5,500,25,450,45,35,1,2,132,3,18,20,3,,
211,4,180,5,300,58,40,2,3,30,3,8,3,1,,
212,6,89,4,120,45,15,2,1,0,1,1,2,1,,
213,1,77,10,175,35,10,1,3,0,1,0,5,1,,
214,1,460,3,75,40,23,6,1,94,3,2,35,2,,
215,3,440,35,1000,38,39,3,3,110,3,40,30,3,,
216,5,56,8,125,40,33,2,3,0,1,12,0,2,,
217,4,15,23,30,52,46,2,1,0,1,0,0,1,,
218,5,150,.,150,.,.,.,.,.,2,0,7,1,,
219,5,8064,300,12000,37,31,3,1,550,3,250,60,3,,
220,3,200,.,.,20,20,.,1,20,3,1,8,1,,
221,3,30,.,350,50,20,5,1,80,3,0,4,1,,
222,5,71,0,185,40,8,0,3,0,1,0,3,1,,
223,4,11,0,0,99,0,0,1,4,1,0,0,1,,
224,1,267,2,125,40,25,5,1,44,3,2,13,1,,
225,7,325,10,400,46,25,3,2,70,1,3,9,1,,
226,1,155,0,85,35,35,5,3,70,1,10,3,2,,
227,4,1000,100,5000,35,20,7,1,180,3,30,20,3,,
228,3,85,30,45,45,25,2,1,54,1,1,6,1,,
229,3,250,50,1000,35,35,0,3,150,3,25,30,3,,
230,2,30,5,40,30,30,3,3,55,1,1,4,1,,
231,2,20,1,0,45,20,2,3,0,3,0,3,1,,
232,.,.,.,.,40,10,5,1,40,.,.,.,.,,
233,2,125,5,125,50,30,10,1,65,1,0,6,1,,
234,4,720,13,650,37,24,6,1,150,3,6,25,2,,
235,4,.,.,.,40,30,5,3,150,3,25,100,3,,
236,1,240,3,225,50,20,2,2,30,1,5,6,1,,
237,4,10,.,10,50,38,2,3,35,2,3,10,1,,
238,5,240,0,125,45,25,1,1,0,1,7,3,1,,
239,6,59,.,.,.,.,.,3,0,2,2,4,1,,
240,3,1080,20,1000,32,30,5,3,170,3,40,50,3,,
241,1,225,1,150,34,22,4,3,120,3,18,5,3,,
242,3,.,.,.,.,.,.,.,.,3,4,20,2,,
243,2,70,7,225,25,35,10,3,43,1,4,2,1,,
244,1,430,35,500,42,26,2,2,0,3,6,30,3,,
245,4,198,.,130,45,21,1,1,62,1,5,8,1,,
246,5,65,12,150,35,30,2,1,35,1,10,4,2,,
247,2,69,3,18,44,26,1,3,43,1,0,9,1,,
248,4,230,0,0,35,36,3,3,150,3,20,12,3,,
249,4,250,25,850,40,15,1,1,40,3,0,.,.,,
250,5,140,80,140,.,.,.,.,.,1,2,12,1,,
251,5,180,5,150,40,25,5,1,130,3,2,6,1,,
252,3,60,7,.,40,10,2,1,18,1,1,0,1,,
253,1,80,0,150,51,18,0,1,0,1,1,2,1,,
254,1,42,0,75,65,25,10,1,36,1,0,3,1,,
255,4,8,0,14,25,15,0,3,0,1,.,2,.,,
256,3,210,.,350,.,.,.,2,100,1,0,16,1,,
257,3,95,0,70,45,25,2,3,42,1,4,1,1,,
258,4,55,50,89,65,30,5,3,32,3,0,2,1,,
259,5,121,1,160,55,30,5,1,30,1,3,2,1,,
260,3,75,10,80,40,26,5,3,26,1,2,2,1,,
261,1,.,.,.,45,21,4,3,205,3,8,32,3,,
262,6,250,10,300,38,29,4,1,50,3,5,20,2,,
263,4,220,10,350,55,25,10,2,70,1,0,15,1,,
264,4,120,10,80,35,60,2,1,80,1,2,22,,,
265,2,25,1,40,40,10,6,1,0,.,.,.,.,,
266,1,500,0,175,75,20,5,2,200,3,32,1,3,,
267,3,.,.,475,45,20,10,2,80,1,2,15,1,,
268,3,200,10,70,45,20,25,1,70,3,0,10,1,,
269,4,250,3,5,35,50,0,3,15,2,1,3,1,,
270,5,215,1,100,36,33,2,3,98,3,5,17,2,,
271,4,.,.,.,.,.,.,2,36,2,7,6,2,,
272,3,733,35,500,53,21,0,1,0,1,6,40,3,,
273,1,.,.,.,.,.,.,3,0,1,0,0,1,,
274,1,200,1,210,50,20,5,2,70,.,.,.,.,,
275,5,305,0,450,58,27,2,2,85,3,3,25,2,,
276,1,110,5,175,.,.,.,2,99,1,0,7,1,,
277,2,.,.,100,.,.,.,3,45,1,3,6,1,,
278,3,100,20,250,24,30,10,3,100,3,0,7,1,,
279,4,355,.,95,40,20,5,1,130,3,8,12,2,,
